,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"rho[2, 103]",0.55,0.216,0.22,0.9,1425,866,1.00,0.0058,0.003
"rho[2, 104]",0.786,0.083,0.65,0.92,1488,632,1.00,0.0021,0.0014
"rho[2, 105]",0.701,0.082,0.57,0.84,1367,843,1.00,0.0022,0.0015
"rho[2, 106]",0.542,0.092,0.39,0.69,1007,795,1.00,0.0029,0.0022
"rho[2, 107]",0.783,0.139,0.52,0.95,1231,610,1.00,0.0038,0.0038
"rho[2, 108]",0.902,0.05,0.81,0.97,1015,609,1.00,0.0015,0.0011
"rho[2, 109]",0.642,0.114,0.47,0.83,1417,898,1.00,0.0031,0.0022
"rho[2, 110]",0.682,0.161,0.41,0.91,1194,799,1.00,0.0047,0.0029
"rho[2, 111]",0.833,0.15,0.53,0.97,761,715,1.00,0.0049,0.0053
"rho[2, 112]",0.778,0.15,0.49,0.96,1085,637,1.00,0.0046,0.0032
"rho[2, 113]",0.582,0.146,0.35,0.82,1231,558,1.01,0.0041,0.0026
"rho[2, 114]",0.55,0.174,0.28,0.84,1143,688,1.00,0.0051,0.003
"rho[2, 115]",0.858,0.067,0.75,0.95,1512,737,1.00,0.0018,0.0023
"rho[2, 116]",0.81,0.15,0.49,0.96,825,678,1.01,0.0055,0.0059
"rho[2, 117]",0.92,0.09,0.75,0.99,234,204,1.01,0.0065,0.012
"rho[2, 118]",0.188,0.073,0.088,0.31,1531,708,1.00,0.0018,0.0016
"rho[2, 119]",0.188,0.083,0.082,0.34,1583,809,1.00,0.0022,0.003
"rho[2, 120]",0.787,0.088,0.64,0.93,1376,756,1.00,0.0023,0.0014
"rho[2, 121]",0.69,0.16,0.37,0.9,867,591,1.00,0.0057,0.0053
"rho[2, 122]",0.204,0.078,0.1,0.34,2657,712,1.00,0.0016,0.0015
"rho[2, 123]",0.849,0.066,0.74,0.95,1081,629,1.01,0.0019,0.0013
"rho[2, 124]",0.594,0.086,0.46,0.73,1672,639,1.00,0.0022,0.0016
"rho[2, 125]",0.36,0.115,0.17,0.53,492,865,1.00,0.0054,0.0034
"rho[2, 126]",0.73,0.093,0.59,0.88,1179,802,1.01,0.0027,0.0019
"rho[2, 127]",0.57,0.09,0.43,0.71,1380,745,1.00,0.0025,0.002
"rho[2, 128]",0.727,0.149,0.47,0.93,939,701,1.00,0.0047,0.0033
"rho[2, 129]",0.36,0.188,0.11,0.7,1357,640,1.01,0.0058,0.0038
"rho[2, 130]",0.17,0.1,0.054,0.34,1617,655,1.00,0.0024,0.003
"rho[2, 131]",0.29,0.137,0.12,0.54,2678,924,1.00,0.003,0.0025
"rho[2, 132]",0.48,0.22,0.15,0.85,1165,769,1.00,0.0067,0.0035
"rho[2, 133]",0.058,0.046,0.01,0.14,1743,936,1.00,0.0013,0.0015
"rho[2, 134]",0.65,0.207,0.25,0.91,940,687,1.00,0.007,0.0042
"rho[2, 135]",0.548,0.06,0.46,0.65,2066,952,1.00,0.0014,0.00095
"rho[2, 136]",0.53,0.091,0.39,0.67,1930,808,1.00,0.0021,0.0015
"rho[2, 137]",0.491,0.136,0.28,0.7,912,749,1.00,0.0045,0.0033
"rho[2, 138]",0.382,0.107,0.23,0.56,1394,686,1.00,0.0029,0.0026
"rho[2, 139]",0.376,0.118,0.21,0.58,1334,766,1.00,0.0035,0.0027
"rho[2, 140]",0.043,0.036,0.007,0.11,1865,844,1.00,0.00095,0.0013
"rho[2, 141]",0.467,0.106,0.3,0.63,1751,703,1.00,0.0026,0.0022
"rho[2, 142]",0.66,0.179,0.35,0.91,1009,636,1.01,0.0053,0.0035
"rho[2, 143]",0.68,0.176,0.37,0.93,982,807,1.00,0.0055,0.0032
"rho[2, 144]",0.434,0.14,0.21,0.66,1346,848,1.00,0.0039,0.0023
"rho[2, 145]",0.854,0.13,0.6,0.97,777,689,1.00,0.0048,0.0056
"rho[2, 146]",0.539,0.159,0.29,0.8,1699,672,1.00,0.0039,0.0024
"rho[2, 147]",0.695,0.12,0.5,0.87,869,613,1.01,0.0041,0.0036
"rho[2, 148]",0.805,0.132,0.55,0.96,836,636,1.00,0.0042,0.0044
"rho[2, 149]",0.186,0.056,0.11,0.28,1649,659,1.00,0.0014,0.0012
"rho[2, 150]",0.762,0.086,0.63,0.9,1662,665,1.00,0.0021,0.0018
"rho[2, 151]",0.516,0.097,0.37,0.68,2433,713,1.00,0.0022,0.0017
"rho[2, 152]",0.751,0.151,0.46,0.94,1353,729,1.00,0.0045,0.0038
"rho[2, 153]",0.242,0.059,0.15,0.34,1602,940,1.00,0.0015,0.00095
"rho[2, 154]",0.74,0.152,0.48,0.95,754,430,1.00,0.0053,0.0035
"rho[2, 155]",0.526,0.152,0.27,0.77,1268,600,1.00,0.0043,0.0029
"rho[2, 156]",0.72,0.182,0.39,0.95,964,811,1.00,0.0057,0.0037
"rho[2, 157]",0.813,0.092,0.65,0.95,1531,739,1.00,0.0022,0.0014
"rho[2, 158]",0.51,0.174,0.22,0.78,710,509,1.00,0.0065,0.0037
"rho[2, 159]",0.69,0.173,0.36,0.91,997,712,1.00,0.0056,0.0039
"rho[2, 160]",0.682,0.145,0.4,0.88,1137,844,1.01,0.0042,0.003
"rho[2, 161]",0.417,0.195,0.14,0.76,1846,756,1.00,0.0046,0.0028
"rho[2, 162]",0.806,0.086,0.67,0.93,1552,625,1.00,0.0021,0.0014
"rho[2, 163]",0.78,0.148,0.49,0.96,933,622,1.00,0.005,0.0037
"rho[2, 164]",0.241,0.091,0.11,0.39,1357,781,1.01,0.0024,0.0019
"rho[2, 165]",0.64,0.166,0.35,0.89,1155,784,1.00,0.0047,0.0029
"rho[2, 166]",0.65,0.169,0.35,0.89,1108,719,1.01,0.0052,0.0034
"rho[2, 167]",0.75,0.161,0.46,0.95,846,753,1.00,0.0053,0.0036
"rho[2, 168]",0.78,0.15,0.46,0.95,688,544,1.00,0.0063,0.0067
"rho[2, 169]",0.589,0.131,0.37,0.8,1177,705,1.00,0.0039,0.0024
"rho[2, 170]",0.728,0.124,0.51,0.91,989,627,1.00,0.004,0.0031
"rho[2, 171]",0.59,0.156,0.33,0.83,817,638,1.00,0.0054,0.0036
"rho[2, 172]",0.596,0.109,0.43,0.77,1504,716,1.00,0.003,0.0024
"rho[2, 173]",0.689,0.167,0.4,0.93,1391,875,1.00,0.0044,0.0026
"rho[2, 174]",0.64,0.174,0.31,0.88,1293,809,1.00,0.005,0.0036
"rho[2, 175]",0.761,0.111,0.57,0.92,990,638,1.00,0.0037,0.003
"rho[2, 176]",0.56,0.194,0.25,0.87,1194,767,1.00,0.0056,0.0031
"rho[2, 177]",0.57,0.102,0.41,0.73,1215,691,1.00,0.003,0.0025
"rho[2, 178]",0.847,0.124,0.59,0.97,1038,778,1.00,0.0041,0.0042
"rho[2, 179]",0.706,0.134,0.46,0.89,957,674,1.00,0.0046,0.004
"rho[2, 180]",0.64,0.169,0.32,0.87,1050,572,1.00,0.0054,0.0039
"rho[2, 181]",0.75,0.144,0.48,0.93,873,697,1.00,0.005,0.0044
"rho[2, 182]",0.309,0.102,0.17,0.49,1812,746,1.00,0.0025,0.0022
"rho[2, 183]",0.74,0.18,0.42,0.96,806,468,1.00,0.0059,0.0039
"rho[2, 184]",0.569,0.172,0.29,0.84,1294,658,1.00,0.0048,0.0029
"rho[2, 185]",0.68,0.169,0.39,0.93,2217,905,1.00,0.0037,0.0022
"rho[2, 186]",0.75,0.151,0.47,0.95,788,675,1.00,0.0054,0.0038
"rho[2, 187]",0.59,0.176,0.26,0.85,1150,831,1.00,0.0053,0.0033
"rho[2, 188]",0.706,0.108,0.53,0.87,1450,867,1.00,0.0028,0.0022
"rho[2, 189]",0.6,0.154,0.35,0.84,896,595,1.00,0.005,0.0034
"rho[2, 190]",0.649,0.078,0.52,0.77,994,748,1.00,0.0026,0.0021
"rho[2, 191]",0.431,0.102,0.29,0.61,931,516,1.00,0.0039,0.0036
"rho[2, 192]",0.549,0.114,0.38,0.74,1332,860,1.00,0.0031,0.0024
"rho[2, 193]",0.66,0.162,0.4,0.9,971,583,1.00,0.005,0.0028
"rho[2, 194]",0.72,0.171,0.41,0.94,946,707,1.00,0.0059,0.0037
"rho[2, 195]",0.71,0.178,0.38,0.95,835,853,1.00,0.006,0.0039
"rho[2, 196]",0.48,0.08,0.35,0.61,1647,497,1.00,0.002,0.0014
"rho[2, 197]",0.502,0.143,0.28,0.74,1393,800,1.00,0.0038,0.0028
"rho[2, 198]",0.344,0.076,0.24,0.48,2672,697,1.00,0.0017,0.0015
"rho[2, 199]",0.72,0.161,0.43,0.94,1007,619,1.01,0.0052,0.0034
"rho[2, 200]",0.82,0.134,0.56,0.97,687,723,1.00,0.0051,0.0043
"rho[2, 201]",0.37,0.172,0.11,0.66,1162,793,1.01,0.005,0.0034
"rho[2, 202]",0.57,0.111,0.4,0.74,1698,783,1.01,0.0027,0.0021
"rho[2, 203]",0.718,0.132,0.48,0.9,1692,754,1.01,0.0034,0.0024
"rho[2, 204]",0.729,0.157,0.46,0.94,1058,631,1.01,0.0049,0.0029
"rho[2, 205]",0.81,0.14,0.53,0.97,833,602,1.00,0.0051,0.0044
"rho[2, 206]",0.18,0.045,0.12,0.26,2121,693,1.00,0.00099,0.00072
"rho[2, 207]",0.799,0.14,0.53,0.97,879,698,1.00,0.0046,0.0033
"rho[2, 208]",0.789,0.14,0.54,0.96,1058,769,1.00,0.0042,0.003
"rho[2, 209]",0.844,0.073,0.73,0.95,1179,806,1.00,0.0022,0.0027
"rho[2, 210]",0.808,0.143,0.53,0.97,957,680,1.00,0.0045,0.0041
"rho[2, 211]",0.41,0.207,0.12,0.78,1167,722,1.00,0.0061,0.0036
"rho[2, 212]",0.669,0.104,0.5,0.82,1271,837,1.01,0.003,0.0023
"rho[2, 213]",0.905,0.08,0.77,0.98,619,420,1.00,0.0048,0.0072
"rho[2, 214]",0.434,0.103,0.28,0.6,1815,712,1.00,0.0025,0.0021
"rho[2, 215]",0.642,0.163,0.35,0.88,1101,651,1.01,0.0049,0.0035
"rho[2, 216]",0.68,0.184,0.36,0.94,770,477,1.00,0.0063,0.0036
"rho[2, 217]",0.7,0.167,0.39,0.93,1141,711,1.00,0.005,0.0034
"rho[2, 218]",0.81,0.15,0.5,0.97,741,511,1.00,0.0054,0.005
"rho[2, 219]",0.588,0.182,0.3,0.88,1446,628,1.00,0.0049,0.0028
"rho[2, 220]",0.591,0.161,0.31,0.83,1315,779,1.00,0.0046,0.003
"rho[2, 221]",0.48,0.141,0.26,0.71,1193,819,1.00,0.0041,0.0028
"rho[2, 222]",0.625,0.176,0.33,0.88,1172,667,1.00,0.0049,0.0028
"rho[2, 223]",0.272,0.103,0.13,0.45,1401,925,1.00,0.0029,0.0022
"rho[2, 224]",0.48,0.115,0.29,0.66,1250,787,1.00,0.0032,0.0022
"rho[2, 225]",0.29,0.126,0.11,0.5,1567,762,1.01,0.0033,0.0025
"rho[2, 226]",0.15,0.084,0.051,0.3,2123,622,1.00,0.0025,0.0026
"rho[2, 227]",0.233,0.12,0.077,0.45,1491,945,1.00,0.0032,0.0029
"rho[2, 228]",0.554,0.136,0.33,0.78,889,660,1.00,0.0045,0.0031
"rho[2, 229]",0.623,0.182,0.32,0.91,1755,802,1.00,0.0044,0.0025
"rho[2, 230]",0.601,0.101,0.45,0.76,1976,813,1.00,0.0023,0.0016
"rho[2, 231]",0.71,0.161,0.43,0.93,956,739,1.00,0.005,0.0032
"rho[2, 232]",0.66,0.158,0.35,0.88,1043,688,1.01,0.0051,0.0041
"rho[2, 233]",0.64,0.103,0.49,0.82,1422,545,1.00,0.0029,0.0021
"rho[2, 234]",0.579,0.173,0.28,0.85,1426,797,1.00,0.0047,0.0028
"rho[2, 235]",0.756,0.094,0.59,0.89,1458,807,1.00,0.0026,0.0021
"rho[2, 236]",0.305,0.099,0.16,0.47,1464,758,1.00,0.0027,0.0027
"rho[2, 237]",0.507,0.161,0.27,0.78,1243,605,1.01,0.0048,0.0032
"rho[2, 238]",0.67,0.11,0.51,0.84,890,697,1.00,0.0038,0.0033
"rho[2, 239]",0.809,0.112,0.62,0.95,1137,608,1.00,0.0033,0.0038
"rho[2, 240]",0.767,0.145,0.5,0.96,1070,762,1.00,0.0045,0.0033
"rho[2, 241]",0.863,0.076,0.73,0.97,1500,715,1.00,0.0019,0.0013
"rho[2, 242]",0.45,0.15,0.24,0.72,1259,612,1.00,0.0044,0.0033
"rho[2, 243]",0.757,0.079,0.63,0.89,1378,647,1.00,0.0021,0.0014
"rho[3, 0]",0.362,0.076,0.26,0.49,1533,771,1.00,0.0023,0.0024
"rho[3, 1]",0.804,0.093,0.65,0.93,1166,714,1.00,0.003,0.0036
"rho[3, 2]",0.647,0.104,0.48,0.82,1043,637,1.01,0.0032,0.0024
"rho[3, 3]",0.508,0.111,0.33,0.68,1516,682,1.00,0.0029,0.002
"rho[3, 4]",0.562,0.127,0.39,0.8,1439,658,1.00,0.0034,0.0023
"rho[3, 5]",0.67,0.145,0.41,0.88,680,556,1.01,0.0057,0.0046
"rho[3, 6]",0.473,0.118,0.3,0.67,1642,782,1.00,0.003,0.002
"rho[3, 7]",0.785,0.078,0.66,0.9,1236,746,1.00,0.0022,0.0018
"rho[3, 8]",0.313,0.068,0.21,0.43,2351,731,1.00,0.0014,0.001
"rho[3, 9]",0.67,0.197,0.31,0.95,780,661,1.00,0.007,0.0044
"rho[3, 10]",0.534,0.074,0.43,0.65,1515,698,1.00,0.002,0.0018
"rho[3, 11]",0.453,0.107,0.29,0.63,1257,802,1.00,0.0031,0.0021
"rho[3, 12]",0.256,0.093,0.14,0.43,536,298,1.00,0.0049,0.0043
"rho[3, 13]",0.308,0.061,0.22,0.41,2024,757,1.00,0.0014,0.0012
"rho[3, 14]",0.587,0.066,0.48,0.7,1776,771,1.00,0.0016,0.0012
"rho[3, 15]",0.436,0.099,0.28,0.6,1558,797,1.00,0.0025,0.0016
"rho[3, 16]",0.841,0.097,0.67,0.96,863,614,1.00,0.0033,0.0037
"rho[3, 17]",0.65,0.119,0.47,0.84,1272,868,1.00,0.0033,0.0028
"rho[3, 18]",0.288,0.134,0.11,0.53,1342,616,1.00,0.0043,0.0041
"rho[3, 19]",0.491,0.136,0.29,0.72,1228,671,1.00,0.004,0.0031
"rho[3, 20]",0.201,0.06,0.12,0.3,1490,760,1.00,0.0019,0.0033
"rho[3, 21]",0.369,0.101,0.22,0.53,1647,703,1.01,0.0025,0.0017
"rho[3, 22]",0.498,0.111,0.32,0.67,858,727,1.00,0.0038,0.0026
"rho[3, 23]",0.286,0.093,0.14,0.43,1046,700,1.00,0.0029,0.0023
"rho[3, 24]",0.511,0.134,0.3,0.73,1164,674,1.01,0.0039,0.0029
"rho[3, 25]",0.819,0.121,0.58,0.96,749,695,1.00,0.0045,0.0042
"rho[3, 26]",0.563,0.086,0.43,0.7,2081,766,1.00,0.0019,0.0013
"rho[3, 27]",0.546,0.096,0.4,0.7,1375,808,1.00,0.0027,0.0022
"rho[3, 28]",0.659,0.093,0.51,0.81,1418,760,1.00,0.0025,0.0017
"rho[3, 29]",0.112,0.077,0.027,0.25,2362,684,1.00,0.0019,0.0034
"rho[3, 30]",0.882,0.066,0.76,0.97,1352,578,1.00,0.0016,0.0012
"rho[3, 31]",0.712,0.077,0.6,0.84,1202,693,1.00,0.0022,0.0015
"rho[3, 32]",0.722,0.142,0.47,0.91,1089,629,1.00,0.0046,0.0041
"rho[3, 33]",0.7,0.173,0.38,0.92,978,756,1.00,0.0056,0.0033
"rho[3, 34]",0.704,0.149,0.43,0.92,1216,847,1.00,0.0044,0.0029
"rho[3, 35]",0.767,0.113,0.58,0.93,996,674,1.00,0.0036,0.003
"rho[3, 36]",0.231,0.055,0.15,0.33,2437,851,1.00,0.0012,0.00097
"rho[3, 37]",0.226,0.085,0.11,0.38,1483,820,1.01,0.0022,0.0018
"rho[3, 38]",0.927,0.049,0.85,0.98,1238,814,1.00,0.0016,0.003
"rho[3, 39]",0.594,0.08,0.47,0.72,1276,751,1.00,0.0023,0.002
"rho[3, 40]",0.266,0.083,0.15,0.41,1755,880,1.00,0.002,0.0017
"rho[3, 41]",0.861,0.109,0.64,0.97,891,691,1.00,0.004,0.0049
"rho[3, 42]",0.755,0.103,0.58,0.9,1056,569,1.00,0.0035,0.0032
"rho[3, 43]",0.761,0.136,0.51,0.94,1010,563,1.01,0.0043,0.0036
"rho[3, 44]",0.476,0.062,0.39,0.58,1842,690,1.00,0.0016,0.0015
"rho[3, 45]",0.341,0.058,0.25,0.44,1751,627,1.01,0.0014,0.0011
"rho[3, 46]",0.472,0.147,0.27,0.75,1557,829,1.00,0.0039,0.0029
"rho[3, 47]",0.572,0.126,0.37,0.77,1174,727,1.00,0.0036,0.0022
"rho[3, 48]",0.74,0.145,0.47,0.93,753,708,1.01,0.0056,0.0046
"rho[3, 49]",0.208,0.077,0.098,0.33,1191,769,1.00,0.0023,0.0024
"rho[3, 50]",0.268,0.054,0.18,0.35,1747,551,1.00,0.0014,0.0012
"rho[3, 51]",0.801,0.107,0.61,0.94,1131,600,1.00,0.0034,0.0034
"rho[3, 52]",0.406,0.1,0.26,0.57,987,696,1.00,0.0035,0.0036
"rho[3, 53]",0.53,0.176,0.24,0.81,863,718,1.00,0.006,0.0035
"rho[3, 54]",0.391,0.093,0.24,0.55,1992,788,1.00,0.0021,0.0014
"rho[3, 55]",0.044,0.04,0.0067,0.11,1586,555,1.00,0.0013,0.006
"rho[3, 56]",0.051,0.043,0.0083,0.13,1547,688,1.00,0.0012,0.0023
"rho[3, 57]",0.219,0.09,0.14,0.38,698,594,1.00,0.004,0.007
"rho[3, 58]",0.375,0.084,0.26,0.52,1468,715,1.00,0.0026,0.0022
"rho[3, 59]",0.146,0.032,0.1,0.2,2413,738,1.01,0.00073,0.00064
"rho[3, 60]",0.202,0.05,0.13,0.29,1404,735,1.00,0.0014,0.00091
"rho[3, 61]",0.518,0.06,0.43,0.62,1499,738,1.00,0.0016,0.0013
"rho[3, 62]",0.606,0.123,0.4,0.8,799,623,1.01,0.0043,0.0029
"rho[3, 63]",0.216,0.09,0.11,0.37,1290,731,1.00,0.003,0.0044
"rho[3, 64]",0.125,0.057,0.064,0.22,1078,708,1.00,0.0019,0.0034
"rho[3, 65]",0.115,0.0245,0.08,0.16,2942,702,1.00,0.00053,0.00044
"rho[3, 66]",0.584,0.12,0.37,0.76,834,445,1.00,0.0042,0.0032
"rho[3, 67]",0.34,0.134,0.13,0.55,1153,838,1.00,0.004,0.0028
"rho[3, 68]",0.408,0.075,0.29,0.53,2102,821,1.00,0.0017,0.0012
"rho[3, 69]",0.404,0.123,0.23,0.62,1238,807,1.00,0.0037,0.0028
"rho[3, 70]",0.087,0.074,0.014,0.2,2122,748,1.01,0.002,0.0036
"rho[3, 71]",0.412,0.093,0.27,0.56,1222,862,1.00,0.0027,0.0017
"rho[3, 72]",0.576,0.125,0.36,0.77,1168,737,1.00,0.0036,0.0021
"rho[3, 73]",0.039,0.032,0.0049,0.096,1530,600,1.00,0.00085,0.0014
"rho[3, 74]",0.773,0.115,0.54,0.92,1260,816,1.00,0.0033,0.0028
"rho[3, 75]",0.52,0.094,0.37,0.66,1040,701,1.00,0.003,0.002
"rho[3, 76]",0.216,0.067,0.13,0.34,1134,495,1.00,0.0022,0.0016
"rho[3, 77]",0.026,0.023,0.0038,0.066,1589,715,1.00,0.00066,0.0016
"rho[3, 78]",0.335,0.079,0.21,0.46,808,781,1.00,0.0028,0.0018
"rho[3, 79]",0.141,0.045,0.078,0.21,1586,1044,1.00,0.0012,0.00094
"rho[3, 80]",0.46,0.15,0.24,0.71,896,767,1.00,0.0051,0.0032
"rho[3, 81]",0.521,0.141,0.29,0.76,970,707,1.00,0.0046,0.0032
"rho[3, 82]",0.401,0.101,0.24,0.57,773,634,1.01,0.0036,0.0025
"rho[3, 83]",0.508,0.126,0.29,0.7,1111,994,1.00,0.0038,0.0026
"rho[3, 84]",0.613,0.122,0.41,0.8,1334,791,1.00,0.0033,0.0022
"rho[3, 85]",0.381,0.109,0.22,0.55,1145,604,1.00,0.0036,0.0033
"rho[3, 86]",0.431,0.131,0.21,0.63,809,794,1.00,0.0047,0.0031
"rho[3, 87]",0.559,0.073,0.46,0.67,2131,578,1.00,0.0017,0.0017
"rho[3, 88]",0.041,0.032,0.0062,0.1,1378,706,1.00,0.00082,0.00096
"rho[3, 89]",0.14,0.061,0.071,0.24,1110,726,1.00,0.0021,0.0039
"rho[3, 90]",0.194,0.048,0.12,0.28,1601,725,1.00,0.0012,0.00084
"rho[3, 91]",0.552,0.084,0.43,0.69,1758,784,1.01,0.002,0.0014
"rho[3, 92]",0.74,0.107,0.57,0.91,1093,592,1.00,0.0032,0.0023
"rho[3, 93]",0.131,0.036,0.079,0.19,1777,798,1.00,0.00086,0.00062
"rho[3, 94]",0.277,0.061,0.19,0.39,1769,784,1.00,0.0015,0.0012
"rho[3, 95]",0.161,0.038,0.11,0.23,1298,724,1.00,0.0011,0.00088
"rho[3, 96]",0.543,0.115,0.34,0.72,989,730,1.00,0.0036,0.0029
"rho[3, 97]",0.194,0.084,0.085,0.34,1278,847,1.01,0.0026,0.0035
"rho[3, 98]",0.193,0.039,0.14,0.26,1773,819,1.00,0.00097,0.00078
"rho[3, 99]",0.223,0.076,0.12,0.35,2285,818,1.00,0.0017,0.0015
"rho[3, 100]",0.116,0.034,0.069,0.17,2340,838,1.00,0.00074,0.00059
"rho[3, 101]",0.481,0.103,0.31,0.63,1204,976,1.00,0.003,0.0019
"rho[3, 102]",0.581,0.12,0.38,0.77,1248,797,1.00,0.0034,0.0023
"rho[3, 103]",0.478,0.129,0.29,0.7,1387,705,1.00,0.0036,0.0027
"rho[3, 104]",0.586,0.136,0.36,0.8,1545,818,1.00,0.0035,0.0026
"rho[3, 105]",0.584,0.12,0.38,0.76,714,553,1.00,0.0045,0.0035
"rho[3, 106]",0.691,0.146,0.42,0.9,993,614,1.01,0.0045,0.0032
"rho[3, 107]",0.435,0.071,0.33,0.55,2090,665,1.01,0.0016,0.0012
"rho[3, 108]",0.773,0.092,0.63,0.92,1257,795,1.00,0.0025,0.0015
"rho[3, 109]",0.598,0.186,0.29,0.88,1739,718,1.00,0.0046,0.0025
"rho[3, 110]",0.618,0.138,0.38,0.82,1492,650,1.00,0.0037,0.0024
"rho[3, 111]",0.384,0.093,0.24,0.53,1708,621,1.00,0.0022,0.0014
"rho[3, 112]",0.76,0.153,0.48,0.95,676,630,1.00,0.0054,0.0037
"rho[3, 113]",0.662,0.14,0.41,0.85,956,843,1.00,0.0045,0.0033
"rho[3, 114]",0.46,0.096,0.31,0.61,1587,743,1.00,0.0024,0.0019
"rho[3, 115]",0.846,0.071,0.72,0.95,1925,508,1.00,0.0016,0.0011
"rho[3, 116]",0.299,0.096,0.16,0.46,1660,558,1.00,0.0025,0.0022
"rho[3, 117]",0.44,0.122,0.25,0.66,618,299,1.01,0.0052,0.0036
"rho[3, 118]",0.18,0.085,0.076,0.33,1863,811,1.00,0.0023,0.003
"rho[3, 119]",0.526,0.153,0.3,0.79,1241,797,1.00,0.0044,0.003
"rho[3, 120]",0.551,0.111,0.38,0.73,1212,914,1.00,0.0032,0.0026
"rho[3, 121]",0.317,0.104,0.17,0.5,1843,758,1.00,0.0025,0.0018
"rho[3, 122]",0.041,0.033,0.0066,0.1,1918,710,1.00,0.00079,0.00094
"rho[3, 123]",0.207,0.06,0.13,0.3,895,494,1.00,0.0027,0.0034
"rho[3, 124]",0.411,0.089,0.26,0.55,880,552,1.00,0.0031,0.0023
"rho[3, 125]",0.311,0.1,0.19,0.48,935,615,1.00,0.0044,0.0061
"rho[3, 126]",0.606,0.084,0.47,0.74,1165,655,1.00,0.0025,0.0021
"rho[3, 127]",0.298,0.067,0.2,0.41,2085,823,1.00,0.0015,0.0011
"rho[3, 128]",0.228,0.057,0.14,0.33,1388,705,1.01,0.0015,0.0011
"rho[3, 129]",0.118,0.069,0.035,0.26,2177,840,1.00,0.0017,0.0014
"rho[3, 130]",0.073,0.06,0.011,0.18,1410,715,1.00,0.0018,0.0023
"rho[3, 131]",0.049,0.038,0.0067,0.12,1378,660,1.00,0.001,0.0012
"rho[3, 132]",0.088,0.053,0.027,0.19,1870,804,1.00,0.0013,0.0012
"rho[3, 133]",0.249,0.138,0.073,0.49,1800,612,1.00,0.0038,0.0036
"rho[3, 134]",0.339,0.121,0.16,0.54,1365,831,1.00,0.0032,0.0025
"rho[3, 135]",0.654,0.09,0.52,0.81,1660,673,1.00,0.0024,0.0017
"rho[3, 136]",0.151,0.049,0.082,0.24,1769,832,1.00,0.0012,0.00094
"rho[3, 137]",0.16,0.067,0.063,0.27,1847,924,1.00,0.0016,0.0011
"rho[3, 138]",0.077,0.042,0.025,0.15,1757,874,1.00,0.0011,0.0014
"rho[3, 139]",0.065,0.031,0.026,0.12,2485,824,1.01,0.0007,0.00069
"rho[3, 140]",0.057,0.038,0.016,0.13,1689,878,1.00,0.00089,0.0013
"rho[3, 141]",0.404,0.112,0.25,0.59,870,701,1.01,0.0041,0.0036
"rho[3, 142]",0.553,0.107,0.39,0.73,1177,720,1.00,0.0033,0.0029
"rho[3, 143]",0.354,0.106,0.2,0.54,1649,844,1.00,0.0026,0.0017
"rho[3, 144]",0.28,0.081,0.17,0.42,1329,532,1.01,0.0025,0.002
"rho[3, 145]",0.227,0.057,0.15,0.33,1776,748,1.00,0.0014,0.0011
"rho[3, 146]",0.082,0.037,0.036,0.14,1798,824,1.00,0.00091,0.0015
"rho[3, 147]",0.324,0.062,0.22,0.42,2098,749,1.00,0.0013,0.00098
"rho[3, 148]",0.39,0.054,0.31,0.49,1771,845,1.00,0.0013,0.00087
"rho[3, 149]",0.234,0.06,0.14,0.33,1897,536,1.00,0.0013,0.00094
"rho[3, 150]",0.184,0.043,0.12,0.25,1786,722,1.00,0.0012,0.0017
"rho[3, 151]",0.271,0.073,0.16,0.39,1938,660,1.00,0.0016,0.0013
"rho[3, 152]",0.573,0.094,0.44,0.73,1696,510,1.00,0.0024,0.0018
"rho[3, 153]",0.242,0.043,0.18,0.31,1948,742,1.00,0.00097,0.00076
"rho[3, 154]",0.46,0.127,0.24,0.63,622,682,1.00,0.005,0.0031
"rho[3, 155]",0.215,0.087,0.099,0.37,1516,755,1.00,0.0024,0.002
"rho[3, 156]",0.457,0.111,0.28,0.63,1219,771,1.00,0.0032,0.0023
"rho[3, 157]",0.587,0.17,0.31,0.85,1246,836,1.00,0.0048,0.0028
"rho[3, 158]",0.47,0.166,0.2,0.74,1120,837,1.00,0.005,0.0031
"rho[3, 159]",0.395,0.105,0.23,0.57,1365,827,1.00,0.0029,0.0019
"rho[3, 160]",0.829,0.075,0.7,0.94,1203,685,1.00,0.0021,0.0018
"rho[3, 161]",0.037,0.029,0.0065,0.095,1468,868,1.00,0.00083,0.00098
"rho[3, 162]",0.662,0.127,0.46,0.87,1263,763,1.00,0.0036,0.0026
"rho[3, 163]",0.598,0.144,0.37,0.84,1336,588,1.00,0.0039,0.0024
"rho[3, 164]",0.1,0.047,0.04,0.18,1766,731,1.00,0.0012,0.0011
"rho[3, 165]",0.372,0.117,0.2,0.57,1483,569,1.00,0.003,0.0023
"rho[3, 166]",0.333,0.105,0.18,0.51,1198,665,1.00,0.0032,0.0032
"rho[3, 167]",0.646,0.083,0.52,0.78,1799,604,1.00,0.002,0.0014
"rho[3, 168]",0.314,0.102,0.16,0.49,1250,688,1.00,0.003,0.0021
"rho[3, 169]",0.627,0.078,0.51,0.75,1443,771,1.00,0.0021,0.002
"rho[3, 170]",0.505,0.102,0.33,0.66,1414,849,1.01,0.0027,0.0019
