,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"rho[1, 211]",0.243,0.117,0.086,0.45,2071,795,1.00,0.0027,0.0021
"rho[1, 212]",0.78,0.14,0.5,0.95,663,608,1.01,0.0055,0.0054
"rho[1, 213]",0.77,0.173,0.41,0.96,759,647,1.00,0.0061,0.0046
"rho[1, 214]",0.573,0.18,0.29,0.87,1419,747,1.00,0.0048,0.0027
"rho[1, 215]",0.573,0.183,0.27,0.85,1491,874,1.00,0.0048,0.0029
"rho[1, 216]",0.84,0.14,0.55,0.98,709,706,1.00,0.0052,0.0058
"rho[1, 217]",0.785,0.094,0.63,0.92,1534,709,1.00,0.0023,0.002
"rho[1, 218]",0.784,0.149,0.48,0.95,991,734,1.00,0.0048,0.0042
"rho[1, 219]",0.311,0.108,0.15,0.49,1616,631,1.01,0.0027,0.0021
"rho[1, 220]",0.795,0.094,0.64,0.93,1409,818,1.00,0.0024,0.0016
"rho[1, 221]",0.607,0.173,0.34,0.88,1915,850,1.00,0.004,0.0023
"rho[1, 222]",0.78,0.18,0.4,0.97,675,641,1.00,0.0066,0.0052
"rho[1, 223]",0.588,0.175,0.31,0.87,1267,659,1.01,0.0048,0.0029
"rho[1, 224]",0.573,0.108,0.4,0.74,1185,611,1.00,0.0032,0.0027
"rho[1, 225]",0.51,0.191,0.21,0.82,1243,666,1.00,0.0054,0.003
"rho[1, 226]",0.688,0.135,0.45,0.89,1721,841,1.00,0.0033,0.0021
"rho[1, 227]",0.68,0.17,0.38,0.91,989,741,1.00,0.0056,0.0043
"rho[1, 228]",0.84,0.15,0.49,0.98,559,549,1.01,0.0066,0.0066
"rho[1, 229]",0.825,0.097,0.67,0.96,1585,900,1.00,0.0026,0.0026
"rho[1, 230]",0.57,0.16,0.3,0.81,1015,782,1.00,0.005,0.0031
"rho[1, 231]",0.645,0.174,0.35,0.9,1465,771,1.01,0.0046,0.0026
"rho[1, 232]",0.65,0.184,0.34,0.92,1199,774,1.00,0.0051,0.0029
"rho[1, 233]",0.532,0.139,0.31,0.76,1514,773,1.01,0.0037,0.0024
"rho[1, 234]",0.524,0.176,0.26,0.82,1565,703,1.00,0.0045,0.0026
"rho[1, 235]",0.73,0.152,0.46,0.94,908,860,1.00,0.0051,0.0031
"rho[1, 236]",0.61,0.181,0.32,0.9,1286,698,1.00,0.005,0.0027
"rho[1, 237]",0.699,0.167,0.41,0.93,1275,802,1.00,0.0047,0.0028
"rho[1, 238]",0.68,0.17,0.38,0.92,1715,841,1.01,0.0042,0.0027
"rho[1, 239]",0.65,0.201,0.31,0.94,999,671,1.00,0.0062,0.0035
"rho[1, 240]",0.769,0.151,0.48,0.96,1107,812,1.00,0.0048,0.0035
"rho[1, 241]",0.541,0.142,0.32,0.77,1857,698,1.00,0.0033,0.002
"rho[1, 242]",0.46,0.208,0.16,0.84,1048,614,1.00,0.0064,0.0036
"rho[1, 243]",0.721,0.159,0.43,0.94,1080,750,1.01,0.0048,0.0031
"rho[2, 0]",0.555,0.134,0.33,0.77,1689,752,1.00,0.0033,0.0021
